Timestamp,Rate
2020-02-20 21:46:47,0
2020-02-20 21:46:51,0
2020-02-20 21:47:02,0
2020-02-20 21:47:06,95
2020-02-20 21:47:17,94
2020-02-20 21:47:21,91
2020-02-20 21:47:32,90
2020-02-20 21:47:36,90
2020-02-20 21:47:47,85
2020-02-20 21:47:51,84
2020-02-20 21:48:02,87
2020-02-20 21:48:06,87
2020-02-20 21:48:17,84
2020-02-20 21:48:21,81
2020-02-20 21:48:32,74
2020-02-20 21:48:36,74
2020-02-20 21:48:47,77
2020-02-20 21:48:51,81
2020-02-20 21:49:02,81
2020-02-20 21:49:06,83
2020-02-20 21:49:17,84
2020-02-20 21:49:22,81
2020-02-20 21:49:32,78
2020-02-20 21:49:37,76
2020-02-20 21:49:47,76
2020-02-20 21:49:52,76
2020-02-20 21:50:02,79
2020-02-20 21:50:07,76
2020-02-20 21:50:17,75
2020-02-20 21:50:21,74
2020-02-20 21:50:32,75
2020-02-20 21:50:37,76
2020-02-20 21:50:47,69
2020-02-20 21:50:51,72
2020-02-20 21:51:02,76
2020-02-20 21:51:07,72
2020-02-20 21:51:17,70
2020-02-20 21:51:21,78
2020-02-20 21:51:32,79
2020-02-20 21:51:36,77
2020-02-20 21:57:16,77
2020-02-20 21:57:21,77
2020-02-20 21:57:25,77
2020-02-20 21:57:31,77
2020-02-20 21:57:36,77
2020-02-20 21:57:40,77
2020-02-20 21:57:46,88
2020-02-20 21:57:51,93
2020-02-20 21:57:55,94
2020-02-20 21:58:01,95
2020-02-20 21:58:06,96
2020-02-20 21:58:10,98
2020-02-20 21:58:16,96
2020-02-20 21:58:21,96
2020-02-20 21:58:25,97
2020-02-20 21:58:31,96
2020-02-20 21:58:36,98
2020-02-20 21:58:40,100
2020-02-20 21:58:46,97
2020-02-20 21:58:51,98
2020-02-20 21:58:55,92
2020-02-20 21:59:01,92
2020-02-20 21:59:06,94
2020-02-20 21:59:10,98
2020-02-20 21:59:16,97
2020-02-20 21:59:21,97
2020-02-20 21:59:25,95
2020-02-20 21:59:31,96
2020-02-20 21:59:36,104
2020-02-20 21:59:40,99
2020-02-20 21:59:46,86
2020-02-20 21:59:51,83
2020-02-20 21:59:55,79
2020-02-20 22:00:01,79
2020-02-20 22:00:06,79
2020-02-20 22:00:10,78
2020-02-20 22:00:16,80
2020-02-20 22:00:21,81
2020-02-20 22:00:25,86
2020-02-20 22:00:31,87
2020-02-20 22:00:36,87
2020-02-20 22:00:40,89
2020-02-20 22:00:46,90
2020-02-20 22:00:51,91
2020-02-20 22:00:55,88
2020-02-20 22:01:01,93
2020-02-20 22:01:06,91
2020-02-20 22:01:10,93
2020-02-20 22:01:16,97
2020-02-20 22:01:21,99
2020-02-20 22:01:25,102
2020-02-20 22:01:31,103
2020-02-20 22:01:36,103
2020-02-20 22:01:40,101
2020-02-20 22:01:46,104
2020-02-20 22:08:20,0
2020-02-20 22:08:35,81
2020-02-20 22:08:50,85
2020-02-20 22:09:05,79
2020-02-20 22:09:20,90
2020-02-20 22:09:35,89
2020-02-20 22:09:50,83
2020-02-20 22:10:05,80
2020-02-20 22:10:21,77
2020-02-20 22:10:36,81
2020-02-20 22:10:50,73
2020-02-20 22:11:05,68
2020-02-20 22:11:20,71
2020-02-20 22:11:35,74
